articleId,title,lastUpdated
8,Rosencrantz and Guildenstern,2021-06-30
20,Othello,2021-06-30
21,Othello,2021-06-30
30,Much Ado About Nothing,2021-06-30
37,Oberon,2021-06-30
41,King John,2021-06-30
42,Children of Pauls,2021-06-30
43,Measure for Measure,2021-06-30
44,Richard II,2021-10-15
64,Regan,2021-06-30
67,Troilus and Cressida,2021-06-30
68,Weird Sisters,2021-06-30
69,Viola,2021-06-30
72,Cordelia,2021-10-15
73,The Merry Wives of Windsor,2021-10-15
74,Julius Caesar,2021-06-30
75,The Two Gentlemen of Verona,2021-06-30
87,Friar Laurence,2021-06-30
97,Pericles,2021-06-30
99,Romeo,2021-06-30
100,Romeo and Juliet,2021-10-15
122,Rosalind,2021-06-30
124,The Taming of the Shrew,2021-06-30
128,Titus Andronicus,2021-06-30
132,Twelfth Night,2021-06-30
133,The Two Noble Kinsmen,2021-06-30
134,boron carbide,2021-06-30
135,Juliet,2021-06-30
136,Antony and Cleopatra,2021-06-30
138,Bud Freeman,2021-06-30
139,Charlie Haden,2021-10-15
140,Eddie Lang,2021-06-30
141,Albert Mangelsdorff,2021-06-30
146,Cymbeline,2021-06-30
152,Loves Labours Lost,2021-10-15
160,Lady Macbeth,2021-06-30
161,Macbeth,2021-06-30
171,Coriolanus,2021-06-30
172,Macbeth,2021-10-15
173,Edward Hall,2021-06-30
176,Timon of Athens,2021-06-30
178,Caliban,2021-06-30
181,A Midsummer Nights Dream,2021-10-15
185,Prospero,2021-06-30
186,The Tempest,2021-06-30
189,Anthony Braxton,2021-06-30
190,Lee Konitz,2021-06-30
191,Lennie Tristano,2021-10-15
192,Henry V,2021-06-30
193,The Winters Tale,2021-10-15
194,Tigray,2021-06-30
195,The Merchant of Venice,2022-05-10
196,José Ramos-Horta,2021-06-30
197,David Lee,2021-06-30
198,Warne Marsh,2021-06-30
199,Art Pepper,2021-06-30
200,Archie Shepp,2021-06-30
201,Henry Threadgill,2021-06-30
202,AkzoNobel,2021-06-30
203,Mary Anne Talbot,2021-06-30
204,Ethiopian Plateau,2021-06-30
207,Lord Stranges Men,2021-06-30
209,Amistad mutiny,2023-04-26
210,boron nitride,2021-06-30
211,Association for the Advancement of Creative Musicians,2021-06-30
212,Vickers hardness,2021-06-30
213,Knoop hardness,2021-06-30
214,Wolfgang Borchert,2021-06-30
215,Charles Bukowski,2021-06-30
216,Hortense Calisher,2021-06-30
217,Dino Campana,2021-06-30
218,Isabel Colegate,2021-06-30
219,R.S. Crane,2021-06-30
220,Gerardo Diego,2021-06-30
221,Frederick Barthelme,2021-06-30
222,Paul Bowles,2021-06-30
223,Carlo Cassola,2021-06-30
224,Ann Beattie,2021-06-30
225,Attilio Bertolucci,2021-06-30
226,Wayne C. Booth,2023-03-09
227,Harold Bloom,2021-08-23
228,Frank Bidart,2022-01-26
229,Bruce Beaver,2021-06-30
230,Jane Bowles,2021-06-30
