0
"[('natural', 'JJ')]"
"[('electric', 'JJ'), ('field', 'NN')]"
"[('electric', 'JJ'), ('force', 'NN')]"
"[('field', 'NN')]"
"[('force', 'NN')]"
"[('electric', 'JJ')]"
"[('gravitational', 'JJ'), ('motion', 'NN')]"
"[('motion', 'NN')]"
"[('accelerated', 'VBN'), ('motion', 'NN')]"
"[('accelerated', 'VBN')]"
"[('gravitational', 'JJ')]"
"[('film', 'NN')]"
"[('thin', 'JJ')]"
"[('frame', 'NN')]"
"[('reference', 'NN')]"
"[('reference', 'NN'), ('frame', 'NN')]"
"[('node', 'NN')]"
"[('antinode', 'NN')]"
"[('bernoullis', 'NN')]"
"[('effect', 'NN')]"
"[('subtractive', 'JJ'), ('color', 'NN')]"
"[('subtractive', 'JJ'), ('mixing', 'NN')]"
"[('mixing', 'NN')]"
"[('subtractive', 'JJ')]"
"[('size', 'NN')]"
"[('distance', 'NN')]"
"[('behavior', 'NN')]"
"[('nonlinear', 'JJ')]"
"[('information', 'NN')]"
"[('processing', 'NN')]"
"[('encoding', 'NN')]"
"[('information', 'NN'), ('processing', 'NN')]"
"[('information', 'NN'), ('encoding', 'NN')]"
"[('perception', 'NN')]"
"[('spatial', 'JJ')]"
"[('visual', 'JJ'), ('edge', 'NN')]"
"[('visual', 'JJ'), ('effect', 'NN')]"
"[('edge', 'NN')]"
"[('edge', 'NN'), ('effect', 'NN')]"
"[('visual', 'JJ')]"
"[('exponential', 'NN')]"
"[('surface', 'NN')]"
"[('tension', 'NN')]"
"[('liquid', 'NN')]"
"[('surface', 'NN'), ('tension', 'NN')]"
"[('liquid', 'NN'), ('tension', 'NN')]"
"[('number', 'NN')]"
"[('complimentary', 'JJ')]"
"[('vision', 'NN')]"
"[('binocular', 'JJ')]"
"[('angular', 'JJ'), ('momentum', 'NN')]"
"[('conservation', 'NN')]"
"[('momentum', 'NN')]"
"[('conservation', 'NN'), ('of', 'IN'), ('momentum', 'NN')]"
"[('angular', 'JJ')]"
"[('packing', 'VBG')]"
"[('parabola', 'NN')]"
"[('depth', 'NN')]"
"[('transverse', 'NN')]"
"[('wave', 'NN')]"
"[('shadow', 'NN')]"
"[('perpendicular', 'JJ'), ('motion', 'NN')]"
"[('composition', 'NN')]"
"[('composition', 'NN'), ('of', 'IN'), ('motion', 'NN')]"
"[('perpendicular', 'JJ')]"
"[('harmonic', 'JJ'), ('motion', 'NN')]"
"[('simple', 'NN')]"
"[('simple', 'NN'), ('motion', 'NN')]"
"[('harmonic', 'JJ')]"
"[('loafing', 'NN')]"
"[('social', 'JJ')]"
"[('influence', 'NN')]"
"[('rotational', 'JJ')]"
"[('standing', 'VBG')]"
"[('vortice', 'NN')]"
"[('prisoner', 'NN')]"
"[('dilemma', 'VBP')]"
"[('pattern', 'NN')]"
"[('persistence', 'NN')]"
"[('vision', 'NN'), ('persistence', 'NN')]"
"[('coandăs', 'NN')]"
"[('energy', 'NN')]"
"[('energy', 'NN'), ('conservation', 'NN')]"
"[('hand', 'NN')]"
"[('eye', 'NN')]"
"[('coordination', 'NN')]"
"[('hand', 'NN'), ('eye', 'NN')]"
"[('eye', 'NN'), ('coordination', 'NN')]"
"[('guide', 'NN')]"
"[('noise', 'NN')]"
"[('pendular', 'JJ')]"
"[('kinetic', 'JJ')]"
"[('image', 'NN')]"
"[('real', 'JJ')]"
"[('arc', 'NN')]"
"[('parabolic', 'JJ')]"
"[('production', 'NN')]"
"[('light', 'JJ')]"
"[('technique', 'NN')]"
"[('make', 'VB')]"
"[('invisible', 'JJ')]"
"[('visible', 'JJ')]"
"[('current', 'JJ')]"
"[('inertia', 'NN')]"
"[('linear', 'JJ')]"
"[('cue', 'NN')]"
